Fatal_1 Fatal_2 Fatal_3 Survivor_1 Survivor_2 Survivor_3
DENND4B 461 711 520 207 232 204
SWAP70 1464 1355 1468 1829 1234 1865
PREB 74 82 70 121 198 156
UFSP1 7 2 1 9 1 8
PHLDA3 0 0 0 0 0 0
C3H7orf61 33 28 21 8 6 2
GAP43 0 1 3 0 1 0
PAMR1 4 8 2 1 1 0
FBXL13 14 11 16 29 35 38
FBXL15 3 5 1 2 5 3
HRH3 0 0 0 0 0 0
FBXL17 530 397 533 933 765 509
HRH1 3 11 10 32 38 10
FAM169A 7 5 3 13 10 8
FBXL18 23 31 17 5 6 4
GHDC 43 29 39 5 11 17
SDK1 21 8 9 0 1 4
SDK2 2 4 1 2 2 7
GRP 0 0 0 0 0 0
TPRN 12 15 28 1 6 10
THSD4 1 5 0 8 0 0
FAM212B 1 5 6 3 4 0
THSD1 63 85 43 17 17 23
CHST9 2 1 0 1 0 0
COL4A6 13 15 4 2 4 4
COL4A4 1 3 1 3 7 2
COL4A3 6 3 1 4 5 0
COL4A2 17 27 15 2 2 0
CHST1 17 4 7 9 9 9
CHST3 1 2 0 0 0 0
CHST2 4 8 7 31 24 23
CHST7 17 28 16 24 27 31
CHST6 0 0 0 0 0 1
HLX 31 67 66 7 14 5
HLCS 25 34 17 112 81 42
NOG 0 0 0 19 2 22
KIF2A 2045 966 911 6023 5166 4037
ITGAV 2094 1320 1856 1086 1245 379
GPSM3 1305 1284 1029 199 259 261
CAMK1 65 73 90 28 52 74
ABCB7 793 694 997 524 709 467
FAM134A 1299 1288 1220 287 410 328
SMAD4 855 587 907 1170 1121 557
SMAD5 109 88 130 435 334 209
SMAD6 1 1 2 0 0 0
SMAD7 313 235 302 128 126 53
GOLPH3L 27 27 23 78 47 70
RFK 82 44 74 56 80 46
AMMECR1L 587 556 730 219 296 154
TMPRSS11A 1 0 1 1 0 0
TMPRSS11B 1 2 2 0 0 0
IGF2R 21657 26558 27973 3641 4009 1886
TMPRSS11D 1 0 1 0 0 0
TMPRSS11E 0 0 0 0 0 0
TMPRSS11F 2 3 0 1 0 0
ABHD14B 34 27 15 52 67 31
RAD21L1 0 0 1 0 0 0
SLC36A4 165 85 150 83 117 29
SLC36A3 2 15 7 1 2 0
SLC36A2 0 1 1 0 1 0
EXOG 59 43 59 74 97 19
ST13 821 730 875 1174 1415 794
HYI 11 23 6 9 4 4
ERICH2 8 18 15 57 117 13
ARTN 0 0 0 0 0 0
ART1 0 2 0 0 0 1
ART3 1 0 1 2 1 0
ART5 0 0 0 0 0 0
ART4 21 18 61 12 9 4
HAUS7 12 21 8 27 29 45
HMGCLL1 0 2 0 0 1 0
TCEA2 5 10 15 4 0 3
TCEA3 0 0 1 0 16 0
KDM2A 3274 3241 4057 1163 1307 642
CRTAM 11 10 8 62 58 25
EDA 0 1 0 0 0 0
MPRIP 259 226 145 210 265 301
CCDC116 2 2 0 0 0 0
CADPS2 8 6 15 0 2 5
CCDC114 1 0 0 0 0 0
RLF 2885 2263 3534 1467 1309 769
CCDC113 3 7 2 4 14 0
CCDC110 1 3 2 2 1 1
ABCD4 160 226 119 93 129 122
LEO1 80 148 101 187 154 75
ATP1A4 1 3 1 2 2 0
ATP1A3 2 5 2 3 6 2
ATP1A2 1 5 1 3 0 0
ATP1A1 7334 7088 8098 2084 2299 1013
MGRN1 77 95 91 18 24 69
CRTAP 43 49 20 87 102 77
SPHK2 17 23 30 2 4 12
DPT 0 0 0 0 0 0
CREB1 961 827 1143 1058 932 547
CPEB4 9264 6458 12545 3041 2820 1958
CPEB3 166 183 198 47 106 57
CPEB2 1668 1644 2230 681 556 329
TCOF1 109 249 141 109 146 156
FRG1 504 352 560 503 501 286
TBC1D30 44 39 22 23 20 3
TP53TG5 17 35 24 13 4 8
C2CD5 1528 1458 2040 1619 1732 739
IFT80 136 110 71 442 437 260
IFT81 56 24 50 33 62 19
IFT88 385 328 418 571 750 322
SARDH 0 1 0 0 0 0
AFF1 3061 3673 3489 3827 7784 1092
XPA 238 147 245 198 179 142
KISS1R 0 0 0 0 0 1
MCM10 136 115 120 110 208 47
CREBL2 194 93 137 200 305 108
IL10RB 3807 3122 4997 547 756 623
ZNF221 160 99 119 33 23 31
C1H1orf35 34 34 23 8 8 10
ATG4A 264 161 238 177 241 122
KYNU 3927 1894 1246 678 926 408
PHOX2A 0 1 0 0 0 0
C20H16orf72 5437 3941 5092 1751 1612 650
LRGUK 0 1 1 0 1 0
UPK2 1 1 1 0 2 0
GPT2 3 7 6 5 10 5
ANKFY1 4077 4119 4422 876 1085 467
CFB 92 84 106 29 50 10
MLLT4 990 576 520 185 208 58
PNN 331 441 394 253 289 144
ATP6V0E1 1546 1083 1140 558 635 473
ATP6V0E2 46 49 58 14 21 30
CFP 1033 1041 1234 98 354 466
UAP1 1168 878 1655 320 362 198
OPA1 2935 2597 4272 1856 2045 1251
MSLNL 0 1 0 0 0 0
SIX4 3 2 2 0 1 0
SIX5 0 0 0 0 0 0
SIX6 1 0 0 0 0 0
SAGE1 0 0 0 0 0 0
SIX1 0 1 0 2 0 0
SIX2 0 0 0 0 0 0
SIX3 0 0 0 0 0 0
TGIF2LX 0 0 0 0 0 0
CNPY2 164 134 223 151 167 93
CNPY1 0 0 0 0 0 0
TINAGL1 43 30 55 1 3 0
PHOSPHO1 14 3 7 7 9 1
GDA 45 17 26 4 0 0
COPG1 898 817 1112 464 672 363
SHOX2 4 2 1 1 0 0
ZFP82 47 67 41 58 50 19
CHFR 499 512 602 185 206 176
KRAS 1963 1243 1930 637 563 262
SYPL1 530 534 513 550 334 491
FAM81A 4 9 0 36 15 37
SYPL2 0 1 0 0 1 0
RFX4 1 2 2 1 3 0
AVPR2 1 1 2 0 1 0
RFX7 294 224 197 619 445 194
NRXN3 2 1 1 1 3 0
RFX1 4 11 4 1 6 2
NRXN1 0 0 0 0 1 0
RFX3 342 302 263 426 360 256
C3H21orf33 56 54 45 21 47 48
APC 2004 1680 1895 1808 1623 879
TMEM179B 165 162 179 82 124 118
ETV3L 1 1 1 0 0 0
XPNPEP2 84 186 302 1 0 2
GGCX 204 205 242 95 150 75
PAPLN 10 22 4 5 5 0
ADNP 2266 1920 1856 1941 1320 783
ZNF57 7 72 9 39 6 24
KHDRBS2 0 1 0 2 3 13
FAM173A 0 1 0 0 0 1
ZNF395 51 40 34 70 61 125
ZNHIT6 32 42 45 151 126 109
GPR78 0 0 0 0 0 0
CTSG 38 8 20 6 2 26
DPYSL4 0 0 0 0 0 0
DPYSL2 109 72 106 393 636 373
DPYSL3 9 10 7 7 9 10
RUNX2 42 30 35 35 41 12
IGFBP2 46 7 20 1 7 88
IGFBP3 70 11 72 5 5 0
IGFBP1 0 0 0 0 0 0
HBE1 2 3 5 6 8 1
IGFBP7 15 27 18 13 24 7
IGFBP4 66 34 69 158 60 181
C8H8orf4 75 22 51 4 2 1
SKP2 55 27 15 106 110 102
CKLF 264 102 245 233 263 170
C5H4orf32 961 714 1467 367 409 154
GJA3 0 0 0 0 0 0
APLNR 0 2 2 0 2 0
GJA5 7 2 8 0 0 0
GJA8 0 0 0 1 0 0
GJA9 403 229 389 361 359 245
CHERP 80 102 68 19 16 22
UNC5CL 2 1 2 0 0 0
KDM3B 2558 2540 2425 1852 1892 1089
SEZ6L 0 1 2 0 1 0
HSD17B10 177 72 171 110 182 245
TMC4 5 10 6 0 4 5
C14H11orf65 1 1 0 3 1 2
TMC6 173 162 189 48 71 96
TMC1 1 3 9 1 0 0
TMC2 0 0 0 0 1 0
TMC3 0 1 2 7 3 1
GTPBP2 2971 2700 3427 408 659 383
EIF2B1 510 488 632 380 394 291
PRKAR2B 1892 511 739 2826 2888 1100
TMEM200C 0 0 0 0 0 0
TXNIP 91865 38167 63489 19562 26496 7099
TMEM200B 0 0 0 0 0 0
MLF1 15 6 17 4 1 4
IFT140 143 16 20 16 17 20
TMEM14C 304 228 252 441 656 367
TMEM14A 182 244 162 87 123 41
MECOM 58 36 39 6 7 6
RSPH3 141 107 166 100 137 61
IFI16 12011 8921 13751 7519 8437 4276
RTEL1 28 52 30 28 60 67
GTPBP8 48 53 53 81 72 74
LURAP1 0 0 0 0 0 0
TPBGL 0 0 0 0 0 0
MYT1L 3 3 3 0 2 0
CLIC6 1 0 2 0 0 0
CLIC5 40 17 15 230 157 35
NLGN2 3 6 2 2 1 0
CLIC1 4430 3176 4551 1408 1907 1640
LRFN5 4 4 1 2 7 0
KIAA0020 97 127 103 399 312 242
TMEM147 106 99 94 61 128 73
HNRNPAB 360 262 284 428 600 349
TMEM145 0 0 1 0 0 0
TMEM144 6 2 10 20 25 5
FOXL2 0 0 0 0 0 0
FOXL1 0 0 0 0 0 0
SF1 1785 1940 2004 885 761 591
API5 1029 903 1183 1655 1646 818
CDK1 145 87 222 85 86 42
RTKN2 107 51 47 218 137 146
SECISBP2L 2333 2945 3020 2221 2089 1114
SOWAHC 1 1 0 0 0 0
SOWAHD 24 38 33 15 33 20
HAS2 28 12 44 1 2 0
DENND4A 6588 3811 3639 7102 9081 3499
FER1L6 3 9 9 3 2 0
ARID4B 3297 3433 4219 2361 2295 1239
SUN2 1311 1250 1282 384 463 604
DENND4C 1312 657 680 2137 1774 1040
DENND6B 12 14 15 0 4 13
ZMAT1 46 76 65 158 121 72
ZMAT3 75 84 64 148 194 103
ZMAT2 308 341 417 272 357 226
ZMAT4 0 1 0 2 0 0
SMOC2 0 0 0 0 0 0
NR1D2 716 424 736 782 708 322
MYBL2 94 67 43 25 54 26
ITGB1BP1 177 204 239 182 218 92
ITGB1BP2 16 27 15 8 4 6
CTCFL 3 2 4 2 2 0
SMAD3 519 492 804 101 153 95
ZAP70 43 36 18 39 72 88
PHLDA2 2 0 1 0 0 1
OGFR 221 202 187 29 54 42
RAC2 2656 3147 3492 652 1080 862
ABCA13 1071 569 1547 34 9 34
CPLX1 0 0 0 0 0 0
AP2A1 250 245 178 68 125 64
CPLX4 0 0 0 0 2 0
AP2A2 761 688 809 178 340 200
PBX1 46 12 22 38 97 40
BCL6 3996 4175 5158 315 343 159
AIRE 1 1 1 0 0 0
NSUN3 192 159 300 95 90 41
NSUN2 426 336 499 371 464 222
NSUN4 118 157 119 122 170 152
TUBG1 34 36 11 18 26 45
FAM71F1 1 2 1 0 2 2
FAM71F2 1 1 0 0 1 0
TUFM 188 130 170 127 362 322
RAD9A 45 35 36 9 7 12
CDR2L 5 1 3 0 0 2
ERGIC1 264 260 169 143 185 195
CEP78 135 88 80 228 233 104
S100PBP 395 274 289 325 352 178
B3GAT2 24 24 21 113 53 17
B3GAT1 0 0 2 0 0 0
CPPED1 308 623 978 477 674 485
UXT 116 97 156 131 202 204
TTC30A 13 19 28 34 51 22
SPG21 2092 1505 1307 648 636 424
SPG20 916 427 931 492 629 354
GSDMA 90 28 60 4 4 2
GSDMB 1 13 4 0 3 0
GSDMD 333 303 409 30 117 143
UPK1B 26 63 65 3 6 0
MC5R 0 0 0 0 0 0
DLGAP3 0 0 0 0 1 0
DLGAP1 10 7 0 3 1 2
SRPX2 0 0 0 0 0 0
DLGAP5 334 277 499 357 592 65
MBNL1 12343 9126 13960 25374 24393 17935
MBNL2 556 295 507 363 410 148
MBNL3 902 723 487 6960 7635 1745
NPEPL1 109 113 136 10 25 45
A1BG 0 0 0 0 0 0
SEMA7A 332 285 259 28 20 73
TTC8 16 6 13 4 15 15
CDX2 0 1 1 1 1 0
PSMG2 6 11 12 9 20 8
CLCN3 946 571 1000 940 1086 696
CLCN2 16 15 5 8 9 14
CLCN1 0 2 1 0 0 0
FBXL16 0 0 0 0 0 2
CLCN7 324 264 255 29 113 131
CLCN6 303 480 312 111 157 107
CLCN5 717 559 780 691 751 299
CLCN4 90 91 158 35 29 41
BRD9 211 236 236 282 286 294
BRD7 1306 1249 1291 1488 1316 737
BRD3 29 58 35 33 65 55
TGFBR3 383 116 60 1459 1041 172
DNAJA4 282 334 283 120 79 60
LYRM2 24 11 41 37 55 52
PTPN13 86 31 53 380 348 126
CLMP 4 10 8 1 2 0
PTPN14 3 3 2 0 2 1
GALR3 0 0 0 0 0 0
GALR2 0 0 0 0 0 0
GALR1 0 0 1 0 0 0
UTRN 9280 9069 11788 7886 7297 4188
LYAR 108 119 153 278 245 139
ABHD16A 895 823 878 225 460 379
CH25H 0 0 0 0 0 0
MRPL24 66 63 87 43 57 40
DMD 7 20 4 42 27 70
MRPL20 108 110 120 82 121 79
SEH1L 565 339 486 1170 1267 679
FAAH2 2 4 0 0 4 10
GAB2 949 1329 1358 106 138 51
MRPL28 40 40 38 3 15 22
FGF17 0 0 0 0 0 0
DMRTB1 1 1 0 0 0 0
ZSCAN9 20 32 38 37 36 19
NPTX2 1 1 0 1 11 0
HABP2 0 0 0 0 2 0
NDRG1 1427 1614 2239 350 558 222
NDRG3 51 78 48 94 141 64
ZSCAN2 93 89 84 40 41 30
SRSF4 376 404 403 225 271 148
RPL7A 2140 1616 1507 4443 5868 4048
MZB1 8 13 5 19 43 91
SFRP2 17 20 6 0 0 0
SRSF9 837 516 487 244 242 209
TRAPPC6B 133 85 153 189 333 131
RNF130 2643 1702 1852 653 1154 511
DNAJB12 0 0 0 0 0 0
VIL1 4 7 1 1 6 2
CD97 14464 14637 19699 1195 2214 1040
RNF138 606 490 758 507 492 247
GID4 41 28 31 50 60 38
CISD1 19 9 12 70 77 80
CLNS1A 133 159 165 513 543 341
TSHZ2 16 24 7 10 13 3
TSHZ3 5 0 2 5 7 0
TSHZ1 78 203 208 175 150 64
GID8 428 402 364 207 336 277
NOSIP 145 118 133 34 80 92
FOXS1 0 0 0 0 0 0
VILL 267 279 313 0 0 0
IGLL1 0 0 0 0 0 0
ZNF583 42 20 20 55 62 33
ZNF582 16 10 13 48 34 23
SOX21 0 0 0 0 0 0
LPAR3 2 3 3 12 8 6
ZNF589 77 63 107 77 87 71
TMEM115 288 255 282 53 123 89
ASUN 311 335 334 380 441 239
CHST8 0 0 0 0 0 0
HAPLN1 1 3 2 0 1 0
PSD 4 6 3 0 2 0
CAMKK1 14 15 3 17 7 4
HOXA9 10 3 5 2 0 0
LPAR5 0 1 0 1 0 0
TMEM123 23743 17817 35115 4116 4241 1634
MTRF1L 45 29 32 34 28 20
MYO1G 2165 2083 2996 633 1013 955
MYO1F 2361 1960 2382 513 891 431
MYO1E 75 97 69 296 425 391
MYO1D 335 226 199 269 517 92
MYO1A 21 12 3 16 18 2
CHMP7 739 736 655 893 798 424
BCR 318 185 132 140 228 206
PGBD5 0 1 0 0 0 0
PGBD2 57 66 76 142 145 117
CTPS2 52 50 81 106 101 30
PGBD1 5 9 8 16 21 8
SULT6B1 2 0 1 3 0 0
LY6G6C 5 3 4 0 0 0
HOXA13 0 0 0 0 0 0
PPAPDC1B 74 84 76 84 79 134
HOXA11 3 0 1 0 0 0
TACR2 9 12 13 4 8 1
FAM160B1 2349 2297 3343 629 674 349
FAM160B2 28 26 13 10 14 16
ATAT1 26 33 34 11 19 8
TTYH1 1 0 0 0 0 0
TSSK6 0 0 0 0 0 0
SRC 354 261 331 76 179 123
TSSK4 71 109 113 25 24 15
ZNF326 451 620 771 261 196 151
TSSK2 0 10 3 5 2 0
TTYH3 353 371 352 12 26 20
ZNF329 139 133 111 112 85 49
SRL 2 0 1 1 0 0
SRM 8 10 10 2 23 4
PRKRIR 640 529 517 1109 951 650
LGALS3 1975 2033 2937 905 1777 991
LGALS2 0 0 0 0 0 0
LGALS1 150 78 95 173 372 193
LGALS4 4 1 0 0 0 0
NMS 0 0 2 0 0 0
SLC8A2 0 0 0 0 0 0
EIF2AK1 785 502 461 1380 1266 472
MS4A15 0 1 0 0 0 0
EIF2AK3 1771 2023 1587 1421 1189 917
CKS2 129 106 122 95 129 81
HN1 215 196 215 93 119 58
LIMS1 4647 2506 5222 3147 2778 2278
EREG 116 38 136 13 29 2
MYO19 108 140 92 141 146 73
AVPI1 42 53 31 10 18 5
TRNT1 179 184 256 337 333 138
ASAP1 2717 2317 2231 1411 2183 696
ASAP2 414 223 148 227 309 382
OCRL 515 278 684 304 228 140
LMLN 0 0 0 0 0 0
ENTPD5 59 31 26 113 99 84
TBX2 0 2 1 0 0 0
SLCO1B1 21 19 32 0 0 0
LRRC26 0 0 0 0 0 0
SLCO1B3 3 28 4 1 1 4
LRRC23 2 2 1 0 0 0
MPDU1 299 245 351 168 247 149
LRRC20 14 5 5 22 28 4
LOX 2 1 0 4 3 0
LPGAT1 1214 771 1488 770 895 421
AIM1 3195 2961 4057 1961 1972 1215
LRRC28 232 113 142 160 135 91
TIMM17B 112 84 102 18 56 77
M1AP 42 45 50 6 11 0
GCNT7 74 92 99 17 8 7
TIMM17A 438 400 435 324 399 276
GCNT1 1481 722 1798 217 318 173
GCNT3 19 33 26 3 154 63
PARD6B 22 13 4 33 32 22
LPCAT4 13 19 5 8 19 9
LPCAT2 3494 2116 4711 775 876 177
LPCAT3 249 302 271 170 211 188
LPCAT1 393 229 281 197 232 460
ITGAL 2233 2176 3493 1246 1598 971
ALOX5 1830 1741 2912 58 44 15
PIGA 588 467 865 507 406 281
PIGB 278 287 358 299 262 142
PIGC 183 184 234 275 262 152
PIGF 415 296 392 327 363 209
PIGG 136 134 186 168 173 89
PIGH 104 92 143 72 48 43
PIGK 122 71 140 313 371 230
PIGL 6 4 2 6 6 16
PIGM 100 110 111 118 83 53
PIGN 77 63 70 388 258 214
PIGO 116 144 100 82 115 66
PIGP 15 9 11 34 53 47
PIGR 1 4 0 0 0 0
TMEM194B 10 20 10 60 76 30
PIGW 14 7 16 72 78 33
PIGX 58 51 136 73 71 42
PIGZ 5 12 1 2 3 0
CCIN 228 221 172 20 38 6
TMEM80 35 28 21 9 21 24
TAGLN 13 23 8 2 8 3
CSNK1G2 110 109 146 16 22 41
TAX1BP3 183 166 185 73 120 147
RHPN1 0 0 0 0 0 0
INPPL1 564 551 554 229 264 329
OLR1 2487 1253 2531 68 52 72
RHPN2 2 3 2 7 5 10
TBX1 1 1 1 0 1 0
CCDC171 81 76 110 106 55 39
CCDC172 0 1 0 0 1 0
SRRM2 6836 8221 4274 2598 2181 850
CCDC175 4 2 2 5 6 24
CCDC177 0 0 0 0 0 0
GRXCR2 0 0 0 4 0 0
PDK3 21 25 12 144 69 29
PDK4 3925 3211 2524 598 1286 86
LNPEP 10310 8388 14149 10040 9323 4399
MYO5C 20 29 21 8 39 29
ALPI 0 0 0 0 0 0
ZNF292 5712 4995 7056 4178 3369 1654
PTGS2 592 170 342 361 157 182
PTGS1 586 332 249 462 184 290
TM2D3 167 172 184 145 153 126
OGFRL1 5240 2784 2983 1582 1869 810
PUF60 410 390 493 98 178 312
ZFAND3 401 352 416 110 171 50
ZFAND1 178 130 125 377 274 199
SLC39A12 0 0 2 1 2 0
CEP128 440 336 485 551 529 203
SLC39A10 146 124 91 925 951 612
SLC39A11 69 43 51 124 162 142
SCN2B 1 1 0 0 0 0
NTRK1 94 12 24 1 9 0
NTRK2 5 12 7 4 1 0
NTRK3 3 3 1 2 9 2
ARHGAP23 28 24 20 1 4 1
ARHGAP22 9 5 1 11 11 5
ARHGAP20 7 4 2 4 6 0
ARHGAP27 842 945 865 94 154 238
EVI5 1279 1573 1382 1514 2401 597
ARHGAP29 1635 905 817 21 11 18
PRPF31 145 119 110 102 134 64
DDIT3 775 764 746 62 59 90
NFKBIL1 70 47 61 25 30 24
PCGF3 99 68 172 19 46 31
NKRF 175 172 180 241 217 111
MYSM1 1753 1431 2420 954 719 427
ATG2A 689 624 443 25 99 61
ATG2B 877 661 1163 641 678 278
GPR3 30 46 24 32 29 7
BMP6 42 103 32 54 60 80
BMP4 1 0 2 0 2 0
BMP3 1 1 1 0 0 0
BMP1 12 3 4 5 2 5
GPR4 0 1 1 0 0 0
DR1 4599 2943 4103 3345 3382 2088
PCGF6 103 94 119 367 418 130
SWT1 2375 1807 2383 4138 6176 1331
TERF2 172 163 176 169 192 131
TERF1 137 101 81 241 348 89
DNAJC18 44 36 48 80 41 54
FEM1A 347 276 509 190 271 221
RASSF9 2 0 0 0 2 0
RASSF1 219 190 150 158 146 131
PTOV1 40 43 16 7 15 35
PTPMT1 340 323 340 318 333 270
RASSF7 2 1 0 2 5 15
RASSF6 313 115 67 11 9 14
MCOLN2 78 63 23 253 240 127
RSAD2 8518 9053 20685 396 829 153
RSAD1 8 8 3 15 9 19
CHD1 5104 3830 5309 2775 2743 1342
NFS1 117 114 104 142 135 80
CHD2 3721 4223 7274 3173 2941 1736
CHD5 2 16 4 1 0 0
CHD7 1663 1916 2358 674 495 486
MRP63 7 2 9 7 7 11
CHD8 3944 3447 5321 2543 2464 1539
SGCA 1 2 0 0 0 0
CAP1 25438 17752 31258 9309 11085 7623
CAP2 5 1 4 1 0 0
NPC1 851 593 638 351 461 198
EXD2 15 57 13 38 54 157
TTC5 35 43 92 48 45 47
TTC4 72 47 91 146 140 88
RAB3GAP2 2174 1978 2644 1453 1259 539
IL4R 1915 2678 2808 212 327 218
BHLHA15 0 0 0 0 0 0
PIKFYVE 2052 2232 2263 2537 2015 2012
PRKCE 520 508 772 128 130 85
ATP8B4 2967 2075 5466 392 419 245
DYNC1LI1 403 296 419 187 205 135
DYNC1LI2 935 749 1174 289 359 185
ELP6 20 16 11 21 26 44
CHDH 5 8 2 0 2 1
CAPG 4222 5027 6401 315 828 1157
STC2 9 2 16 1 0 4
ETHE1 0 0 0 0 0 0
PLSCR4 15 3 8 8 19 12
PRDM15 41 45 43 85 136 86
PLSCR2 3 9 4 0 0 0
ABCG5 0 3 0 6 1 0
ABCG8 5 0 0 1 0 2
MPO 254 108 226 6 7 17
HNF4G 0 0 0 0 1 0
HNF4A 0 0 0 1 0 0
POLRMT 10 15 13 5 20 22
LMAN1 343 236 285 566 655 370
FUCA1 1457 829 1218 555 685 460
DYSF 10720 9228 9819 130 774 39
GRPEL1 762 797 1262 109 119 59
KDM1B 1562 1701 3041 503 447 350
PRKCQ 494 457 230 1419 1061 577
LRRC27 19 9 8 33 21 10
GADL1 0 0 0 0 1 0
QRSL1 137 134 90 466 442 284
FCER1G 4706 6810 7098 310 549 189
BTG4 1 1 0 0 1 0
BTG3 183 143 226 47 79 45
BTG2 454 608 825 1047 909 631
SOSTDC1 1 2 1 0 0 0
SLA2 137 182 90 161 237 153
CDPF1 1 1 4 5 4 3
METAP1 192 177 110 599 612 376
SRD5A3 10 2 5 32 43 14
SRD5A2 0 1 0 2 0 0
SRD5A1 36 63 66 17 90 26
RNF167 447 446 415 279 378 229
HELLS 170 124 78 630 559 220
MRPL43 157 129 167 110 131 177
AKAP17A 0 0 0 0 0 0
FAM49A 1110 1023 1684 895 969 472
ESRRB 1 2 0 2 0 0
PDILT 1 1 1 0 1 0
SLC6A20 1 0 1 0 0 0
ZFP36L2 10 8 5 0 0 1
GGA1 258 294 291 42 72 67
GGA3 669 808 858 281 380 232
GGA2 93 80 53 251 292 477
TSNAXIP1 0 2 1 0 1 0
APOA2 40 60 72 3 2 6
FHOD1 740 858 715 97 168 173
ITGB8 43 13 10 0 1 0
ADH7 0 0 2 0 0 0
ADH6 0 2 2 3 1 0
ADH5 46 58 70 176 222 169
ADH4 1 3 1 4 0 0
PKD1 4 3 3 1 3 5
GJC2 1 6 3 0 5 1
CTNNBL1 774 736 1110 560 474 368
C15H9orf72 2551 1863 4318 837 967 732
GJC1 8 6 13 1 0 4
FAM195B 28 28 31 4 7 28
C2H3orf70 2 2 0 0 0 0
PSMB9 1350 1171 2044 279 784 619
ZNF131 357 301 386 648 658 350
ZNF132 6 3 3 10 19 11
PSMB3 861 717 1013 242 378 237
PSMB1 797 537 865 655 819 544
CEP97 109 75 103 327 260 206
HDHD1 98 90 118 105 124 44
RER1 556 447 717 307 404 301
HDHD3 37 36 30 2 7 2
MAF1 577 397 347 371 568 551
NPM3 19 24 14 24 29 44
SPRYD7 21 10 21 42 20 8
MS4A13 0 3 1 1 0 0
POLA2 811 237 392 178 259 42
ADCY8 4 2 0 0 0 0
RMI1 136 60 110 331 279 66
RMI2 68 18 60 33 23 12
MBL2 0 0 0 0 0 0
CILP 2 5 2 2 3 0
KCNK4 3 1 2 0 1 0
KCNK5 184 162 247 27 77 33
KCNK6 10 8 11 1 1 3
KCNK7 7 15 11 3 3 0
MLH3 185 160 94 1005 760 531
CRY1 177 113 103 183 202 58
MLH1 83 78 66 189 149 103
KCNK3 0 0 0 0 0 0
SULT2A1 0 0 0 2 12 0
TRIML2 2 2 2 0 0 0
TRIML1 0 1 0 0 0 0
ACOT11 4 9 4 34 40 30
ACOT13 114 133 126 89 168 48
SH3KBP1 1614 1638 2024 929 930 517
VPS13C 4997 4028 5210 15051 15723 9839
VPS13B 13359 12143 16190 10094 10700 4800
BEX4 23 51 19 28 42 62
NUP160 245 206 151 703 641 533
SMIM12 252 196 217 95 135 118
TMEM160 2 0 2 0 1 0
TMEM165 2316 1636 3270 826 1088 503
TMEM164 654 719 894 299 618 334
FOXN4 0 0 0 1 0 0
TMEM168 210 176 232 581 458 351
FOXN1 0 2 0 0 1 0
FOXN2 6603 3902 7184 4375 4755 2676
REPIN1 184 246 370 60 69 60
NICN1 189 281 169 46 56 44
EIF3K 98 87 112 82 193 279
XYLB 6 5 2 4 11 0
COL14A1 1 4 2 2 0 1
PLBD2 130 139 84 15 40 20
GNA13 1864 1316 1745 1088 1148 628
KLHDC8A 1 0 2 1 1 0
SH2B2 26 8 18 5 26 24
C14H11orf42 9 17 15 2 1 0
SH2B3 516 534 575 76 143 102
TAP2 2697 2465 3030 568 926 763
PRKAR1B 0 0 0 1 5 0
SMIM10 0 5 3 0 0 0
SH2B1 38 75 53 9 29 39
FRRS1L 3 1 2 2 2 8
SBF2 2386 2249 2845 1141 1345 457
