row.names	logFC	logCPM	PValue	FDR
SHISA2	-9.041625	2.18422019	1.28E-13	1.20E-11
TNFAIP3	-5.226709	11.566916	1.54E-13	1.42E-11
LTB4R	-5.293264	6.21153197	1.77E-13	1.61E-11
NCAM1	5.461909	4.617775	1.89E-13	1.70E-11
DYSF	-5.204301	9.39670383	1.97E-13	1.75E-11
MS4A7	5.268832	6.31843463	2.04E-13	1.79E-11
SPATS2L	-5.21377	8.09062529	2.12E-13	1.84E-11
PLA2G7	5.334357	5.09409461	2.40E-13	2.06E-11
CCL23	-5.261478	6.78992305	2.52E-13	2.13E-11
VEGFA	-5.205302	7.67925616	2.54E-13	2.13E-11
ADCY4	-5.568294	3.91345524	2.82E-13	2.34E-11
CHIT1	-5.234343	6.46589429	3.34E-13	2.74E-11
FCER1A	5.607028	3.81234471	4.11E-13	3.33E-11
ABCA13	-5.213254	6.17747132	4.38E-13	3.51E-11
KLHL3	5.694636	3.49024517	5.84E-13	4.63E-11
CD1B	6.702304	2.41731461	6.46E-13	5.07E-11
MS4A4A	-5.165101	5.50441622	6.85E-13	5.32E-11
EPAS1	-5.065108	7.50402174	7.80E-13	6.00E-11
ALOX5AP	-5.022463	10.03074958	7.88E-13	6.00E-11
S100A12	-5.04549	7.58055923	8.13E-13	6.13E-11
CCL7	-5.833567	3.2824691	1.39E-12	1.04E-10
SLAMF9	5.528709	3.27292498	1.60E-12	1.18E-10
CLEC4E	-5.122957	4.98429455	1.64E-12	1.20E-10
ALOX5	-4.944019	6.92146473	2.05E-12	1.48E-10
LRP1B	5.102248	4.53937952	2.20E-12	1.58E-10
PLAU	-5.149821	4.67262602	3.21E-12	2.28E-10
RHBDF2	-4.948894	5.15610135	4.56E-12	3.20E-10
GGT1	-5.118378	4.21354036	4.94E-12	3.44E-10
CASP5	-4.794815	7.69929042	5.57E-12	3.84E-10
CORO2A	-4.825065	6.29464437	6.17E-12	4.22E-10
SLCO4A1	-4.932019	4.95657832	6.59E-12	4.46E-10
CTRC	-8.515181	1.71443992	7.12E-12	4.78E-10
FFAR2	-4.857367	5.4258024	7.42E-12	4.91E-10
TMEM56	4.737324	10.02664723	7.45E-12	4.91E-10
FAIM3	4.761591	6.68748971	8.55E-12	5.58E-10
BMX	-4.7851	6.23642517	9.17E-12	5.94E-10
CLEC2D	4.772214	5.95524807	1.01E-11	6.45E-10
CXCL1	-5.264801	3.31716436	1.06E-11	6.77E-10
CEBPE	-6.161999	2.36639633	1.17E-11	7.37E-10
ATP10B	-5.23022	3.45784838	1.18E-11	7.40E-10
LYVE1	-4.837698	5.23052453	1.32E-11	8.20E-10
EMP1	-4.885278	4.56643221	1.36E-11	8.34E-10
ANKDD1A	-5.22911	3.63735193	1.53E-11	9.35E-10
SERPING1	-5.14558	3.26717541	1.57E-11	9.48E-10
ENPP5	6.243654	1.9819773	1.60E-11	9.62E-10
PYHIN1	4.688597	6.25834515	1.73E-11	1.03E-09
GPR15	5.04803	3.35544007	1.76E-11	1.04E-09
ATP9A	-4.6489	7.41202539	1.80E-11	1.05E-09
ADAMTS9	-5.543047	2.85000658	2.01E-11	1.17E-09
SOAT2	-4.658282	6.35853891	2.07E-11	1.19E-09
MARCO	-7.20567	2.09821424	2.29E-11	1.31E-09
LILRA5	-4.582049	9.70346072	2.52E-11	1.43E-09
PYGL	-4.578747	9.78671637	2.58E-11	1.44E-09
IDO2	-6.2064	2.07067096	2.58E-11	1.44E-09
LONRF3	-4.592504	7.68319637	2.71E-11	1.50E-09
SPATC1	-6.657304	2.05981732	2.74E-11	1.51E-09
CXCL11	-4.675221	5.47837631	2.87E-11	1.57E-09
CD200R1	4.634605	5.89896656	2.90E-11	1.57E-09
MXD1	-4.5451	10.15200855	3.34E-11	1.80E-09
SAMD3	5.005458	3.34001525	3.37E-11	1.80E-09
CD82	-4.579324	7.05666492	3.58E-11	1.90E-09
CD180	4.546465	6.3101683	4.69E-11	2.47E-09
FCER1G	-4.495602	8.95131546	4.96E-11	2.60E-09
TMPRSS2	-4.75711	4.19559327	6.31E-11	3.28E-09
TRIB3	-4.755805	3.83766736	7.33E-11	3.79E-09
TBX21	4.685251	4.07098224	7.99E-11	4.10E-09
FCRL1	4.462286	6.70069181	8.30E-11	4.23E-09
FPR2	-4.459929	7.31707638	8.49E-11	4.29E-09
CD79B	4.543378	4.99746528	8.84E-11	4.44E-09
KLF11	-4.460062	6.46330999	9.07E-11	4.50E-09
DHX58	-4.444455	7.06757678	9.12E-11	4.50E-09
ELAVL3	-8.162206	1.39730483	9.15E-11	4.50E-09
TNK2	-4.485978	5.91678632	1.02E-10	4.98E-09
TIMP3	-4.775298	3.9243484	1.07E-10	5.21E-09
TLR3	-4.400518	7.74669641	1.15E-10	5.52E-09
ABCD2	5.260327	2.22669155	1.15E-10	5.52E-09
PLCD3	-5.505164	2.23311586	1.33E-10	6.36E-09
ACSM3	4.386062	6.02221314	1.66E-10	7.85E-09
MLNR	-5.024582	2.89449558	1.69E-10	7.94E-09
CHI3L2	-4.402193	6.13270304	1.71E-10	8.00E-09
SERPINB10	4.391548	5.78227605	1.79E-10	8.32E-09
FLT1	-4.569178	4.02461511	1.93E-10	8.90E-09
PCDH12	-5.072013	2.86384641	2.07E-10	9.50E-09
TRIB1	-4.308281	9.11284389	2.09E-10	9.51E-09
S100P	-4.313585	7.89828102	2.20E-10	9.98E-09
TMEM155	6.49142	1.10523518	2.54E-10	1.14E-08
NCALD	4.651823	3.39079776	2.59E-10	1.15E-08
HAS1	-5.910919	1.97127046	2.59E-10	1.15E-08
GSDMC	-4.50045	4.23466637	2.67E-10	1.18E-08
RAB30	4.417954	4.61773739	2.72E-10	1.19E-08
THAP10	4.710875	3.0390158	2.88E-10	1.26E-08
ITGA9	-4.335232	5.54425022	2.98E-10	1.30E-08
ITGA4	4.256959	10.04479442	3.06E-10	1.32E-08
STOM	-4.248576	9.6937731	3.29E-10	1.41E-08
CRMP1	5.151264	2.10231234	3.33E-10	1.42E-08
ENPP2	-4.323557	5.24041898	3.41E-10	1.45E-08
UNC5D	-5.146029	2.38065998	3.49E-10	1.47E-08
APOBEC3A	-4.221492	9.59352323	4.04E-10	1.70E-08
CD74	4.221242	8.87876499	4.07E-10	1.70E-08
OAS3	-4.286547	5.59727292	4.36E-10	1.81E-08
ZDHHC18	-4.226573	7.57394227	4.47E-10	1.84E-08
OSM	-4.281678	5.79534468	4.57E-10	1.88E-08
BATF2	-5.375058	2.06818621	4.68E-10	1.91E-08
ARHGEF5	-4.275507	5.48834435	4.70E-10	1.91E-08
ZC3H12A	-4.262056	6.00365027	4.88E-10	1.97E-08
SNX18	-4.181297	8.9028188	5.54E-10	2.22E-08
GIMAP8	4.183075	7.590359	6.01E-10	2.40E-08
PIM3	-4.226198	6.14114466	6.08E-10	2.41E-08
MSRA	-4.210358	6.38633171	6.10E-10	2.41E-08
CDH5	-5.604383	1.88209738	6.16E-10	2.42E-08
IRF7	-4.296107	4.64711232	6.45E-10	2.52E-08
PODXL	-4.696138	3.17240484	7.14E-10	2.77E-08
XKRX	4.282779	4.69201852	7.22E-10	2.79E-08
OLR1	-4.172846	6.84114867	7.46E-10	2.87E-08
FGD2	4.198269	5.61069318	7.73E-10	2.96E-08
CCR4	4.366536	3.63935365	7.78E-10	2.96E-08
IL18RAP	-4.167749	6.44590136	7.98E-10	3.02E-08
PLVAP	4.360178	3.7290212	8.11E-10	3.05E-08
IL24	4.276474	4.31617739	8.18E-10	3.07E-08
MINA	4.216304	4.8329298	9.22E-10	3.44E-08
ATRNL1	4.109446	9.10108816	9.43E-10	3.50E-08
LITAF	-4.107798	9.81513429	9.53E-10	3.52E-08
GBP3	-4.089842	9.66942052	1.09E-09	4.00E-08
APOBR	-4.212886	4.89291216	1.20E-09	4.40E-08
CPA3	4.392972	3.22785154	1.23E-09	4.46E-08
AATK	-5.116634	2.22268418	1.25E-09	4.51E-08
CEACAM6	-4.202459	4.77274624	1.27E-09	4.56E-08
LRRN2	-5.430916	1.95306513	1.27E-09	4.57E-08
PADI2	4.186754	4.4969686	1.28E-09	4.58E-08
ISCA1	4.065272	10.69109984	1.30E-09	4.62E-08
DDX60	-4.063264	10.89992428	1.32E-09	4.67E-08
FCN3	-7.76849	1.03860228	1.41E-09	4.97E-08
OVOL1	-7.747837	1.03086888	1.60E-09	5.60E-08
PVRL2	-4.245428	4.13789357	1.64E-09	5.72E-08
ANXA3	-4.034447	8.39717945	1.68E-09	5.83E-08
CD72	4.13905	4.79874695	1.72E-09	5.94E-08
SGSH	-4.292719	3.62920027	1.73E-09	5.95E-08
RCVRN	-4.495544	3.04844741	1.74E-09	5.95E-08
NRG1	4.309401	3.32823972	1.90E-09	6.47E-08
ORM1	-4.046972	6.14652201	2.13E-09	7.20E-08
TRAF3IP2	-4.055941	5.65385603	2.38E-09	8.02E-08
CCDC152	5.469321	1.07142731	2.71E-09	9.11E-08
GPR171	4.068442	4.78419438	2.74E-09	9.14E-08
VSIG10L	-6.034524	1.49679164	2.79E-09	9.27E-08
NPR1	-6.176316	1.2581056	3.02E-09	9.98E-08
KDM6B	-4.030663	5.22121106	3.23E-09	1.06E-07
CSF2RB	-3.951605	8.19927185	3.33E-09	1.09E-07
CD27	4.099833	3.97487695	3.35E-09	1.09E-07
C1S	-4.664606	2.32724929	3.40E-09	1.10E-07
RSAD2	-3.937158	9.25650117	3.44E-09	1.11E-07
RAB44	-4.1259	4.18789792	3.45E-09	1.11E-07
IFNA8	-7.636156	0.94703176	3.45E-09	1.11E-07
SLCO1B1	-7.615665	0.92876117	3.95E-09	1.26E-07
CXHXorf57	4.228732	3.12610231	4.01E-09	1.27E-07
PTS	4.076553	4.00844215	4.09E-09	1.30E-07
DRD1	5.520989	1.06423419	4.16E-09	1.31E-07
CD163L1	-3.965365	5.50574572	4.21E-09	1.32E-07
CIITA	3.974585	5.37178984	4.43E-09	1.39E-07
MARVELD2	4.074391	3.87571046	4.70E-09	1.47E-07
ZNF831	4.172905	3.29336371	4.82E-09	1.48E-07
RTN2	-6.150299	1.42686455	4.82E-09	1.48E-07
GADD45B	-3.922765	6.59699854	4.82E-09	1.48E-07
JUN	-3.933227	6.16068716	4.85E-09	1.48E-07
YES1	-3.933084	5.56736345	5.11E-09	1.56E-07
SLA	-3.883682	9.36859002	5.13E-09	1.56E-07
BCL2A1	-3.880282	9.46528617	5.21E-09	1.58E-07
PTGER2	-3.934221	5.32329673	5.28E-09	1.59E-07
GCA	-3.879279	8.36060918	5.40E-09	1.62E-07
RASGRP1	3.881587	7.95357724	5.55E-09	1.65E-07
ATP8A2	3.991716	4.44373965	5.55E-09	1.65E-07
NAP1L2	4.628103	1.93152806	5.84E-09	1.73E-07
EBI3	-7.5719	0.8671011	5.93E-09	1.75E-07
FAM89A	-3.883071	7.02180221	5.97E-09	1.76E-07
OASL	-3.861397	9.38154597	6.00E-09	1.76E-07
MBNL3	3.861575	8.93249332	6.03E-09	1.76E-07
JAG1	-3.949011	5.18963872	6.17E-09	1.79E-07
TGM2	-4.047113	3.87634946	6.32E-09	1.83E-07
CR2	3.913713	5.29507859	6.57E-09	1.89E-07
ANXA10	-4.360948	2.59787193	6.91E-09	1.98E-07
SIRPB1	-3.863902	6.71530338	7.17E-09	2.05E-07
ALAS2	3.830783	11.82335683	7.46E-09	2.13E-07
TNNI2	-4.812548	2.22818149	7.73E-09	2.19E-07
SAMD13	5.25406	1.19314644	7.76E-09	2.19E-07
TTYH3	-3.94563	4.64169526	7.87E-09	2.22E-07
CECR1	3.856296	5.84367646	8.26E-09	2.32E-07
P2RY10	3.8697	5.5055653	8.60E-09	2.40E-07
CD52	3.824995	7.28893811	8.60E-09	2.40E-07
PCMTD1	3.811041	9.17050153	8.73E-09	2.42E-07
GPR183	3.818146	7.67882	8.87E-09	2.45E-07
JAKMIP2	4.212437	2.64856249	9.03E-09	2.48E-07
TUFT1	-4.002409	4.09287339	9.03E-09	2.48E-07
NR1I3	-4.857369	1.84349243	9.17E-09	2.51E-07
MMP1	-4.112109	3.46375369	9.34E-09	2.54E-07
C3AR1	-3.802205	8.17567745	9.43E-09	2.56E-07
RELB	-3.898491	4.88653141	1.06E-08	2.86E-07
FBXO6	-3.814175	6.37275141	1.07E-08	2.88E-07
FGFBP2	4.291181	2.46053327	1.09E-08	2.93E-07
CD19	3.89276	4.44013892	1.13E-08	3.01E-07
MMP25	-3.820572	5.6473677	1.13E-08	3.01E-07
NOSTRIN	3.780603	8.03095631	1.16E-08	3.07E-07
SIGLEC9	-3.810718	5.93037149	1.25E-08	3.29E-07
MAN1C1	4.181797	2.71539969	1.25E-08	3.29E-07
GSDMA	-4.418645	2.36380385	1.26E-08	3.30E-07
CYSTM1	-3.794522	6.33928921	1.28E-08	3.34E-07
SETDB2	3.760927	8.01837104	1.33E-08	3.48E-07
PLA2G16	-3.77499	6.35148299	1.44E-08	3.73E-07
P2RY2	-4.128703	2.91937745	1.44E-08	3.73E-07
KCND1	-3.95398	3.85462466	1.47E-08	3.80E-07
LYPD8	-4.56354	2.14545162	1.58E-08	4.04E-07
QRICH2	-4.015169	3.750865	1.58E-08	4.04E-07
CXCL6	-7.420881	0.75949445	1.63E-08	4.16E-07
PLA2G4C	-3.731644	7.77626876	1.68E-08	4.29E-07
RNF125	3.864742	3.84962794	1.75E-08	4.45E-07
PRR5L	3.805783	4.71404144	1.76E-08	4.46E-07
HPGDS	5.336156	0.87447359	1.86E-08	4.69E-07
TNFRSF8	-4.08593	3.1970237	1.92E-08	4.83E-07
UBTD1	-4.485599	2.09940529	1.98E-08	4.95E-07
KLRG1	3.800027	4.29559338	2.02E-08	5.03E-07
AMDHD1	3.816723	4.0814935	2.05E-08	5.09E-07
FNDC3B	-3.695162	8.69455976	2.05E-08	5.09E-07
CLECL1	4.571477	1.59248767	2.17E-08	5.36E-07
DNAH17	-4.058568	2.67285105	2.21E-08	5.45E-07
SLCO4C1	-3.712758	6.25335679	2.22E-08	5.45E-07
GRPEL1	-3.709933	6.34104465	2.27E-08	5.55E-07
NEK6	-3.707072	6.20746979	2.34E-08	5.70E-07
CAMP	-3.675507	8.38047374	2.44E-08	5.91E-07
CDK5R1	-3.710774	6.02564606	2.49E-08	6.02E-07
GDF15	-7.337362	0.68915433	2.58E-08	6.22E-07
GZMK	3.726023	4.97724599	2.62E-08	6.30E-07
SLC16A3	-3.719598	5.59218192	2.64E-08	6.32E-07
ALOX15	3.779777	4.01671559	2.98E-08	7.12E-07
SLC2A5	-3.80917	4.06911721	3.05E-08	7.26E-07
RASD1	-5.828471	0.95090025	3.08E-08	7.30E-07
GAB2	-3.664444	6.50567486	3.12E-08	7.39E-07
GPR63	4.018398	2.4855295	3.20E-08	7.54E-07
ZNF215	3.698348	5.08645214	3.23E-08	7.60E-07
TNF	-3.705912	5.26940316	3.26E-08	7.64E-07
SLC2A3	-3.627803	10.52543857	3.30E-08	7.71E-07
AGTRAP	-3.720008	5.06131766	3.41E-08	7.94E-07
SH2D1A	3.67299	5.21522668	3.45E-08	8.00E-07
IL27RA	3.690746	4.910382	3.55E-08	8.20E-07
DDIT3	-3.660842	5.93947183	3.62E-08	8.34E-07
HOXA5	-4.433903	1.90758222	4.13E-08	9.50E-07
IL22RA2	-7.257535	0.62337531	4.16E-08	9.54E-07
HGD	3.625843	5.56017228	4.58E-08	1.05E-06
MAST3	-3.659251	5.02247166	4.69E-08	1.07E-06
KCNH4	-7.23465	0.60059097	4.90E-08	1.11E-06
TP53INP2	-3.614053	5.8495309	5.07E-08	1.15E-06
VWA3B	-3.763971	3.54651548	5.08E-08	1.15E-06
PDE2A	-3.741368	3.99535108	5.33E-08	1.20E-06
TLE3	-3.569524	7.76798575	5.46E-08	1.22E-06
ACSF2	3.677559	3.98977824	5.54E-08	1.24E-06
GGA2	3.605209	5.4689103	5.59E-08	1.25E-06
THBD	-3.873148	3.34949952	5.64E-08	1.25E-06
ENTPD3	-3.664174	4.3659749	5.89E-08	1.31E-06
RUFY4	-4.620784	1.61519353	5.94E-08	1.31E-06
TDRD6	3.826592	2.91863462	6.28E-08	1.38E-06
FCRLA	3.622548	4.44706511	6.45E-08	1.42E-06
RFX2	-4.001548	2.60726425	6.49E-08	1.42E-06
ADAMTS6	3.567581	5.66881775	6.62E-08	1.45E-06
GYPA	3.52846	8.37133318	6.86E-08	1.49E-06
IRAK2	-3.548445	6.72833923	6.89E-08	1.49E-06
SEMA4A	-3.527258	8.54554048	6.95E-08	1.51E-06
PRUNE2	-3.664745	3.96460314	7.01E-08	1.51E-06
NLRC3	3.75107	3.22161267	7.16E-08	1.54E-06
DDX58	-3.502006	10.33829676	8.16E-08	1.75E-06
FCGR2B	-3.496819	10.20756014	8.49E-08	1.82E-06
CLEC4A	-3.498669	8.06063678	8.62E-08	1.84E-06
ELL	-3.61143	4.28181495	8.63E-08	1.84E-06
IRF8	3.56254	4.89484225	8.79E-08	1.87E-06
AMPD3	-3.523547	5.91165291	9.02E-08	1.91E-06
MPO	-3.735121	3.65844786	9.08E-08	1.91E-06
FSIP1	4.027749	2.1597042	9.15E-08	1.92E-06
GIMAP4	3.483818	8.20986392	9.46E-08	1.98E-06
GRB10	-3.679784	3.53220069	9.87E-08	2.06E-06
SUV420H2	-3.957085	2.60570486	1.03E-07	2.14E-06
NCF1	-3.481409	7.39669831	1.05E-07	2.17E-06
FMNL1	-3.468171	8.83808115	1.05E-07	2.19E-06
BCL11B	3.564598	4.1973187	1.07E-07	2.20E-06
DSCC1	3.596323	3.77295819	1.10E-07	2.27E-06
VSIG2	4.28205	1.46461827	1.12E-07	2.30E-06
IFI44	-3.449689	10.00222658	1.19E-07	2.43E-06
RGS13	4.659606	1.09678362	1.20E-07	2.45E-06
RAD51C	3.47539	5.27881619	1.37E-07	2.80E-06
SLC8A1	3.452302	6.09386816	1.39E-07	2.82E-06
SEMA3F	-4.403082	1.62659063	1.41E-07	2.86E-06
ST8SIA1	4.291842	1.51434961	1.41E-07	2.86E-06
AMICA1	3.464369	5.50630857	1.44E-07	2.90E-06
GINS1	3.478666	5.09354264	1.44E-07	2.90E-06
EPHA1	-4.294477	1.83512649	1.45E-07	2.91E-06
MS4A2	4.03021	1.80968872	1.46E-07	2.92E-06
DPYSL2	3.456526	5.65299885	1.47E-07	2.93E-06
TMEM177	4.553626	0.97937089	1.48E-07	2.95E-06
SLC47A1	3.830788	2.34549063	1.50E-07	2.97E-06
TNIP1	-3.418064	8.91226175	1.51E-07	2.99E-06
CD81	-3.445542	5.97804502	1.58E-07	3.12E-06
TCN1	-3.8207	2.77708536	1.60E-07	3.14E-06
DDX60L	-3.404674	11.14320022	1.63E-07	3.19E-06
FGR	-3.404146	10.43732658	1.64E-07	3.20E-06
DEFB1	-7.045379	0.4623812	1.65E-07	3.22E-06
TRMT61B	3.734827	2.63354988	1.67E-07	3.26E-06
MT1X	-4.834997	0.98610643	1.69E-07	3.27E-06
NFIL3	-3.395735	9.20136601	1.74E-07	3.38E-06
TINAGL1	-4.415246	1.46554187	1.95E-07	3.76E-06
CLIC5	3.516912	3.68274145	1.97E-07	3.79E-06
FAM184A	3.487269	3.88499536	2.11E-07	4.06E-06
EGR2	3.47318	3.95011953	2.15E-07	4.11E-06
CKAP4	-3.368401	7.86698687	2.16E-07	4.13E-06
ADAM8	-3.467149	4.69748638	2.17E-07	4.13E-06
SRXN1	-3.523626	3.99789478	2.21E-07	4.20E-06
TOM1	-3.374848	6.69025755	2.30E-07	4.37E-06
UST	3.732635	2.36050999	2.34E-07	4.43E-06
RPS21	3.355999	7.90669244	2.35E-07	4.43E-06
CCDC57	-3.478061	4.34472458	2.38E-07	4.48E-06
CXCL10	-3.347278	9.81232635	2.44E-07	4.58E-06
CCRL2	-3.382307	5.50264877	2.53E-07	4.73E-06
PDLIM7	-4.595537	1.42453912	2.55E-07	4.77E-06
KL	-4.961311	1.09965123	2.58E-07	4.81E-06
HTR2B	-3.410778	4.81597702	2.59E-07	4.81E-06
DHX57	3.40525	4.60784901	2.65E-07	4.91E-06
MYOM1	3.443645	3.81171846	2.99E-07	5.53E-06
ZNF202	3.585336	2.78500078	3.07E-07	5.67E-06
NGFR	3.710406	2.07618782	3.12E-07	5.74E-06
TSC22D1	3.31969	7.33156688	3.19E-07	5.86E-06
CERKL	3.386894	4.23454169	3.36E-07	6.15E-06
E2F2	-3.316481	7.03955337	3.45E-07	6.29E-06
KCTD14	-3.409191	3.8786687	3.45E-07	6.29E-06
GGH	3.753487	2.12752346	3.47E-07	6.30E-06
SERPINA1	-3.29394	10.2753845	3.56E-07	6.45E-06
COL9A2	-4.160218	1.63187418	3.56E-07	6.45E-06
C8H8orf4	-4.026745	1.73963566	3.61E-07	6.51E-06
TMEM173	-3.305046	7.09482882	3.62E-07	6.51E-06
KBTBD12	3.821647	1.75960044	3.66E-07	6.57E-06
TMEM127	-3.305168	6.7001506	3.69E-07	6.61E-06
PRKD3	3.277971	8.5505302	4.01E-07	7.14E-06
TNFRSF10D	-3.295337	6.59099767	4.01E-07	7.14E-06
LCLAT1	3.30628	5.5899003	4.13E-07	7.35E-06
PPIF	-3.315648	5.11534698	4.36E-07	7.74E-06
CA5B	3.321619	4.83101609	4.37E-07	7.74E-06
DENND5A	-3.260501	10.16591512	4.48E-07	7.90E-06
KLRC1	3.281875	6.05505213	4.50E-07	7.93E-06
CD2	3.279044	5.8389337	4.64E-07	8.15E-06
EPS8	3.285099	5.8429638	4.67E-07	8.17E-06
SOX6	3.262798	7.50387937	4.67E-07	8.17E-06
C1QTNF7	-4.78901	0.8314229	4.79E-07	8.36E-06
PRCP	3.25542	7.53102189	4.86E-07	8.46E-06
OSMR	-4.012291	1.58775102	4.90E-07	8.51E-06
CRTC2	-3.290758	5.59525979	4.96E-07	8.59E-06
TSPAN8	-3.526968	2.67496932	5.11E-07	8.83E-06
CYYR1	-6.863417	0.30003008	5.18E-07	8.91E-06
ELSPBP1	-6.846056	0.28371983	5.18E-07	8.91E-06
OAS2	-3.234226	11.17304461	5.35E-07	9.17E-06
AGK	-3.23598	9.00193055	5.35E-07	9.17E-06
SIGLEC11	-3.242881	7.57850469	5.38E-07	9.19E-06
EGR1	3.278198	5.204365	5.46E-07	9.30E-06
TC2N	3.230228	7.79496914	5.63E-07	9.56E-06
TLE2	-4.033842	1.67826712	5.64E-07	9.56E-06
EPHX4	-3.710967	2.05105002	5.80E-07	9.82E-06
ST3GAL2	-3.288036	5.08715288	5.82E-07	9.84E-06
MSRB3	-3.550017	2.76816259	5.89E-07	9.92E-06
BTLA	3.286783	4.6098255	5.90E-07	9.92E-06
RAB23	3.305329	4.23623839	5.95E-07	9.96E-06
RASGRP4	-3.43184	3.41613292	5.96E-07	9.96E-06
RGS19	-3.321085	4.33859015	5.96E-07	9.96E-06
CD97	-3.216324	10.14175189	6.08E-07	1.01E-05
BCL3	-3.388356	3.35697928	6.28E-07	1.04E-05
NOS3	-6.83839	0.29290717	6.34E-07	1.05E-05
S100A3	-4.07559	1.75243289	6.35E-07	1.05E-05
